NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 4, at cycle: 1135772.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 4, at cycle: 1135774.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 4, at cycle: 1135780.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 4, at cycle: 1135782.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 4, at cycle: 1135865.000000
NEW_JOB_RELEASED, task 1, job 8, at cycle: 1213113.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 8, at cycle: 1213206.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 8, at cycle: 1213347.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 8, at cycle: 1213362.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 8, at cycle: 1213382.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 8, at cycle: 1213389.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 8, at cycle: 1213467.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 8, at cycle: 1213469.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 8, at cycle: 1213487.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 8, at cycle: 1213489.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 8, at cycle: 1213516.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 8, at cycle: 1213524.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 8, at cycle: 1213552.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 8, at cycle: 1213608.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 8, at cycle: 1213610.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 8, at cycle: 1213679.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 8, at cycle: 1213681.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 8, at cycle: 1213765.000000
NEW_JOB_RELEASED, task 1, job 9, at cycle: 1330115.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 9, at cycle: 1330269.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 9, at cycle: 1330355.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 9, at cycle: 1330370.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 9, at cycle: 1330389.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 9, at cycle: 1330396.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 9, at cycle: 1330474.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 9, at cycle: 1330476.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 9, at cycle: 1330496.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 9, at cycle: 1330498.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 9, at cycle: 1330523.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 9, at cycle: 1330532.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 9, at cycle: 1330555.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 9, at cycle: 1330616.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 9, at cycle: 1330618.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 9, at cycle: 1330681.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 9, at cycle: 1330683.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 9, at cycle: 1330766.000000
NEW_JOB_RELEASED, task 2, job 5, at cycle: 1350040.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 5, at cycle: 1350123.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 5, at cycle: 1350209.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 5, at cycle: 1350223.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 5, at cycle: 1350242.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 5, at cycle: 1350248.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 5, at cycle: 1350308.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 5, at cycle: 1350309.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 5, at cycle: 1350326.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 5, at cycle: 1350328.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 5, at cycle: 1350334.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 5, at cycle: 1350336.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 5, at cycle: 1350420.000000
NEW_JOB_RELEASED, task 1, job 10, at cycle: 1447124.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 10, at cycle: 1447217.000000
